"ep_number","ep_title","restaurant","location","ep_air_date","yelp_string","index","freq_visited"
12,"All Kinds of BBQ","Texas Pride BBQ","Adkins, Texas",2008-06-30,"Texas Pride BBQ Adkins Texas yelp",121,1
13,"In the Family","Benny's Seafood Restaurant","South Miami, Florida",2008-07-07,"Benny's Seafood Restaurant South Miami Florida yelp",122,1
13,"In the Family","Chaps Pit Beef","Baltimore, Maryland",2008-07-07,"Chaps Pit Beef Baltimore Maryland yelp",123,2
13,"In the Family","Burger Bar","Roy, Utah",2008-07-07,"Burger Bar Roy Utah yelp",124,1
1,"Brain Freeze","Doumar's","Norfolk, Virginia",2008-07-14,"Doumar's Norfolk Virginia yelp",125,1
1,"Brain Freeze","Aunt Lena's Creamery","Chandler, Arizona",2008-07-14,"Aunt Lena's Creamery Chandler Arizona yelp",126,1
1,"Brain Freeze","The Creole Creamery","New Orleans, Louisiana",2008-07-14,"The Creole Creamery New Orleans Louisiana yelp",127,2
2,"Diners You Sent Me To","Town Talk Diner","Minneapolis, Minnesota",2008-07-21,"Town Talk Diner Minneapolis Minnesota yelp",128,1
2,"Diners You Sent Me To","Blue Plate Diner","Salt Lake City, Utah",2008-07-21,"Blue Plate Diner Salt Lake City Utah yelp",129,1
2,"Diners You Sent Me To","Broadway Diner","Baltimore, Maryland",2008-07-21,"Broadway Diner Baltimore Maryland yelp",130,1
3,"Bar Food","The Highlander","Atlanta, Georgia",2008-07-28,"The Highlander Atlanta Georgia yelp",131,2
3,"Bar Food","Gumbo Shack","Fairhope, Alabama",2008-07-28,"Gumbo Shack Fairhope Alabama yelp",132,1
3,"Bar Food","Starlite Lounge","Blawnox, Pennsylvania",2008-07-28,"Starlite Lounge Blawnox Pennsylvania yelp",133,1
4,"Burgers and Dogs","The Wienery","Minneapolis, Minnesota",2008-08-04,"The Wienery Minneapolis Minnesota yelp",134,1
4,"Burgers and Dogs","Casino El Camino","Austin, Texas",2008-08-04,"Casino El Camino Austin Texas yelp",135,1
4,"Burgers and Dogs","G&A Restaurant","Baltimore, Maryland",2008-08-04,"G&A Restaurant Baltimore Maryland yelp",136,1
5,"Where the Locals Eat","Uncle Lou's","Memphis, Tennessee",2008-08-11,"Uncle Lou's Memphis Tennessee yelp",137,2
5,"Where the Locals Eat","Captain Chuck A Mucks","Rescue, Virginia",2008-08-11,"Captain Chuck A Mucks Rescue Virginia yelp",138,1
5,"Where the Locals Eat","Dixie Quicks","Omaha, Nebraska",2008-08-11,"Dixie Quicks Omaha Nebraska yelp",139,1
6,"Totally Unexpected","Cabbage Town Market","Atlanta, Georgia",2008-08-18,"Cabbage Town Market Atlanta Georgia yelp",140,1
6,"Totally Unexpected","The Cove","San Antonio, Texas",2008-08-18,"The Cove San Antonio Texas yelp",141,1
6,"Totally Unexpected","Bryant-Lake Bowl","Minneapolis, Minnesota",2008-08-18,"Bryant-Lake Bowl Minneapolis Minnesota yelp",142,1
7,"A Taste of Everywhere","Jamaica Kitchen","Kendale Lakes, Florida",2008-09-15,"Jamaica Kitchen Kendale Lakes Florida yelp",143,1
7,"A Taste of Everywhere","Crystal Restaurant","Pittsburgh, Pennsylvania",2008-09-15,"Crystal Restaurant Pittsburgh Pennsylvania yelp",144,1
7,"A Taste of Everywhere","Red Iguana","Salt Lake City, Utah",2008-09-15,"Red Iguana Salt Lake City Utah yelp",145,1
8,"Better Than Ever","Colonnade","Atlanta, Georgia",2008-09-22,"Colonnade Atlanta Georgia yelp",146,1
8,"Better Than Ever","Manci's Antique Club","Daphne, Alabama",2008-09-22,"Manci's Antique Club Daphne Alabama yelp",147,1
8,"Better Than Ever","Amato's","Omaha, Nebraska",2008-09-22,"Amato's Omaha Nebraska yelp",148,1
9,"Big Flavor","Darwell's Café","Long Beach, Mississippi",2008-09-29,"Darwell's Café Long Beach Mississippi yelp",149,1
9,"Big Flavor","Brick Oven Pizza","Baltimore, Maryland",2008-09-29,"Brick Oven Pizza Baltimore Maryland yelp",150,1
9,"Big Flavor","Victor's 1959 Café","Minneapolis, Minnesota",2008-09-29,"Victor's 1959 Café Minneapolis Minnesota yelp",151,1
10,"Cookin' It Old School","Nadine's Restaurant","Pittsburgh, Pennsylvania",2008-10-06,"Nadine's Restaurant Pittsburgh Pennsylvania yelp",152,1
10,"Cookin' It Old School","Casamento's Restaurant","New Orleans, Louisiana",2008-10-06,"Casamento's Restaurant New Orleans Louisiana yelp",153,1
10,"Cookin' It Old School","Big Mama's Kitchen & Catering","Omaha, Nebraska",2008-10-06,"Big Mama's Kitchen & Catering Omaha Nebraska yelp",154,1
11,"Grabbin'a Sandwich","Moochie's Meatballs & More","Salt Lake City, Utah",2008-10-13,"Moochie's Meatballs & More Salt Lake City Utah yelp",155,1
11,"Grabbin'a Sandwich","Cemitas Puebla","Chicago, Illinois",2008-10-13,"Cemitas Puebla Chicago Illinois yelp",156,1
11,"Grabbin'a Sandwich","Tioli's Crazee Burger","San Diego, California",2008-10-13,"Tioli's Crazee Burger San Diego California yelp",157,1
12,"Traditional Dishes","Donatelli's","White Bear Lake, Minnesota",2008-11-03,"Donatelli's White Bear Lake Minnesota yelp",158,1
12,"Traditional Dishes","Stoney Creek Inn","Baltimore, Maryland",2008-11-03,"Stoney Creek Inn Baltimore Maryland yelp",159,1
12,"Traditional Dishes","Alcenia's","Memphis, Tennessee",2008-11-03,"Alcenia's Memphis Tennessee yelp",160,1
13,"Doin' Their Own Thing","Lone Star Taqueria","Salt Lake City, Utah",2008-11-10,"Lone Star Taqueria Salt Lake City Utah yelp",161,1
13,"Doin' Their Own Thing","Modern Café","Minneapolis, Minnesota",2008-11-10,"Modern Café Minneapolis Minnesota yelp",162,1
13,"Doin' Their Own Thing","Brewburger's","Omaha, Nebraska",2008-11-10,"Brewburger's Omaha Nebraska yelp",163,1
1,"What’s For Breakfast","Surrey’s Café","New Orleans, Louisiana",2008-11-10,"Surrey’s Café New Orleans Louisiana yelp",164,1
1,"What’s For Breakfast","Harry’s Roadhouse","Santa Fe, New Mexico",2008-11-10,"Harry’s Roadhouse Santa Fe New Mexico yelp",165,1
1,"What’s For Breakfast","Dor-Stop Restaurant","Pittsburgh, Pennsylvania",2008-11-10,"Dor-Stop Restaurant Pittsburgh Pennsylvania yelp",166,1
2,"Real Deal Italian","LoBello’s Spaghetti House","Coraopolis, Pennsylvania",2008-11-17,"LoBello’s Spaghetti House Coraopolis Pennsylvania yelp",167,1
2,"Real Deal Italian","Di Pasquale’s","Baltimore, Maryland",2008-11-17,"Di Pasquale’s Baltimore Maryland yelp",168,1
2,"Real Deal Italian","Pizzeria Luigi","San Diego, California",2008-11-17,"Pizzeria Luigi San Diego California yelp",169,1
3,"Not What You’d Expect","Sophia’s Place","Albuquerque, New Mexico",2008-11-24,"Sophia’s Place Albuquerque New Mexico yelp",170,1
3,"Not What You’d Expect","Magnolia Café","Austin, Texas",2008-11-24,"Magnolia Café Austin Texas yelp",171,1
3,"Not What You’d Expect","Glenn’s Diner","Chicago, Illinois",2008-11-24,"Glenn’s Diner Chicago Illinois yelp",172,1
4,"Places You Sent Me","Ruth’s Diner","Salt Lake City, Utah",2008-12-01,"Ruth’s Diner Salt Lake City Utah yelp",173,2
4,"Places You Sent Me","O’Rourke’s Diner","Middletown, Connecticut",2008-12-01,"O’Rourke’s Diner Middletown Connecticut yelp",174,1
4,"Places You Sent Me","Parasol’s","New Orleans, Louisiana",2008-12-01,"Parasol’s New Orleans Louisiana yelp",175,1
5,"Long Time Legends","Tommy’s Joynt","San Francisco, California",2009-01-05,"Tommy’s Joynt San Francisco California yelp",176,2
5,"Long Time Legends","Joe Tess Place","Omaha, Nebraska",2009-01-05,"Joe Tess Place Omaha Nebraska yelp",177,1
5,"Long Time Legends","Big Jim’s","Pittsburgh, Pennsylvania",2009-01-05,"Big Jim’s Pittsburgh Pennsylvania yelp",178,1
6,"Something from Everywhere","Valencia Luncheria","Norwalk, Connecticut",2009-01-12,"Valencia Luncheria Norwalk Connecticut yelp",179,2
6,"Something from Everywhere","The Original Vito & Nick’s Pizzeria","Chicago, Illinois",2009-01-12,"The Original Vito & Nick’s Pizzeria Chicago Illinois yelp",180,1
6,"Something from Everywhere","Emily’s Lebanese Delicatessen","Minneapolis, Minnesota",2009-01-12,"Emily’s Lebanese Delicatessen Minneapolis Minnesota yelp",181,1
7,"Neighborhood Favorites","Pat’s BBQ","Salt Lake City, Utah",2009-01-19,"Pat’s BBQ Salt Lake City Utah yelp",182,1
7,"Neighborhood Favorites","Blow Fly Inn","Gulfport, Mississippi",2009-01-19,"Blow Fly Inn Gulfport Mississippi yelp",183,1
7,"Neighborhood Favorites","Tune-Up Café","Santa Fe, New Mexico",2009-01-19,"Tune-Up Café Santa Fe New Mexico yelp",184,1
8,"Just Like Yesterday","Hob Nob Hill","San Diego, California",2009-01-26,"Hob Nob Hill San Diego California yelp",185,1
8,"Just Like Yesterday","The Silver Skillet","Atlanta, Georgia",2009-01-26,"The Silver Skillet Atlanta Georgia yelp",186,1
8,"Just Like Yesterday","Tufano’s Vernon Park Tap","Chicago, Illinois",2009-01-26,"Tufano’s Vernon Park Tap Chicago Illinois yelp",187,1
9,"Return to Route 66","Standard Diner","Albuquerque, New Mexico",2009-02-02,"Standard Diner Albuquerque New Mexico yelp",188,1
9,"Return to Route 66","Dell Rhea's Chicken Basket","Willowbrook, Illinois",2009-02-02,"Dell Rhea's Chicken Basket Willowbrook Illinois yelp",189,1
9,"Return to Route 66","Salsa Brava","Flagstaff, Arizona",2009-02-02,"Salsa Brava Flagstaff Arizona yelp",190,1
10,"Smokin' BBQ","Green Mesquite","Austin, Texas",2009-02-09,"Green Mesquite Austin Texas yelp",191,1
10,"Smokin' BBQ","Gorilla BBQ","Pacifica, California",2009-02-09,"Gorilla BBQ Pacifica California yelp",192,1
10,"Smokin' BBQ","Wilson’s Holy Smoke BBQ","Fairfield, Connecticut",2009-02-09,"Wilson’s Holy Smoke BBQ Fairfield Connecticut yelp",193,1
11,"Regional Classics","Cecilia’s Café","Albuquerque, New Mexico",2009-02-16,"Cecilia’s Café Albuquerque New Mexico yelp",194,1
11,"Regional Classics","Joey K’s Restaurant & Bar","New Orleans, Louisiana",2009-02-16,"Joey K’s Restaurant & Bar New Orleans Louisiana yelp",195,1
11,"Regional Classics","Kelly O’s Diner","Pittsburgh, Pennsylvania",2009-02-16,"Kelly O’s Diner Pittsburgh Pennsylvania yelp",196,2
12,"All Kinds of Fast Food","Super Duper Weenie","Fairfield, Connecticut",2009-03-16,"Super Duper Weenie Fairfield Connecticut yelp",197,1
12,"All Kinds of Fast Food","California Tacos","Omaha, Nebraska",2009-03-16,"California Tacos Omaha Nebraska yelp",198,1
12,"All Kinds of Fast Food","Bert’s Burger Bowl","Santa Fe, New Mexico",2009-03-16,"Bert’s Burger Bowl Santa Fe New Mexico yelp",199,1
13,"Family Favorites","Giusti’s","Walnut Grove, California",2009-03-23,"Giusti’s Walnut Grove California yelp",200,1
13,"Family Favorites","Haus Murphy’s","Glendale, Arizona",2009-03-23,"Haus Murphy’s Glendale Arizona yelp",201,2
13,"Family Favorites","Louie’s","Dallas, Texas",2009-03-23,"Louie’s Dallas Texas yelp",202,1
1,"Funky Joints","Bizzaro Café","Seattle, Washington",2009-04-06,"Bizzaro Café Seattle Washington yelp",203,1
1,"Funky Joints","Chef Point Café","Wautaga, Texas",2009-04-06,"Chef Point Café Wautaga Texas yelp",204,1
1,"Funky Joints","Jamie’s Bar & Grill","Sacramento, California",2009-04-06,"Jamie’s Bar & Grill Sacramento California yelp",205,1
2,"Their Own Way","Bluewater Seafood Market & Grill","San Diego, California",2009-04-13,"Bluewater Seafood Market & Grill San Diego California yelp",206,1
2,"Their Own Way","Brandy’s Restaurant & Bakery","Flagstaff, Arizona",2009-04-13,"Brandy’s Restaurant & Bakery Flagstaff Arizona yelp",207,1
2,"Their Own Way","Kuma’s Corner","Chicago, Illinois",2009-04-13,"Kuma’s Corner Chicago Illinois yelp",208,1
