"ep_number","ep_title","restaurant","location","ep_air_date","google_string","freq_visited","index","yelp_string"
2,"Diners You Sent Me To","Town Talk Diner","Minneapolis, Minnesota",2008-07-21,"Town Talk Diner Minneapolis Minnesota yelp",1,128,"town-talk-diner-and-gastropub-minneapolis"
2,"Diners You Sent Me To","Blue Plate Diner","Salt Lake City, Utah",2008-07-21,"Blue Plate Diner Salt Lake City Utah yelp",1,129,"blue-plate-diner-salt-lake-city"
2,"Diners You Sent Me To","Broadway Diner","Baltimore, Maryland",2008-07-21,"Broadway Diner Baltimore Maryland yelp",1,130,"broadway-diner-baltimore"
3,"Bar Food","The Highlander","Atlanta, Georgia",2008-07-28,"The Highlander Atlanta Georgia yelp",2,131,"the-highlander-atlanta"
3,"Bar Food","Gumbo Shack","Fairhope, Alabama",2008-07-28,"Gumbo Shack Fairhope Alabama yelp",1,132,"the-gumbo-shack-fairhope"
3,"Bar Food","Starlite Lounge","Blawnox, Pennsylvania",2008-07-28,"Starlite Lounge Blawnox Pennsylvania yelp",1,133,"starlite-lounge-pittsburgh"
4,"Burgers and Dogs","The Wienery","Minneapolis, Minnesota",2008-08-04,"The Wienery Minneapolis Minnesota yelp",1,134,"the-wienery-minneapolis"
4,"Burgers and Dogs","Casino El Camino","Austin, Texas",2008-08-04,"Casino El Camino Austin Texas yelp",1,135,"casino-el-camino-austin"
4,"Burgers and Dogs","G&A Restaurant","Baltimore, Maryland",2008-08-04,"G&A Restaurant Baltimore Maryland yelp",1,136,"g-and-a-restaurant-baltimore"
5,"Where the Locals Eat","Uncle Lou's","Memphis, Tennessee",2008-08-11,"Uncle Lou's Memphis Tennessee yelp",2,137,"uncle-lous-fried-chicken-memphis"
5,"Where the Locals Eat","Captain Chuck A Mucks","Rescue, Virginia",2008-08-11,"Captain Chuck A Mucks Rescue Virginia yelp",1,138,"captain-chuck-a-mucks-sandbar-and-grill-carrollton"
5,"Where the Locals Eat","Dixie Quicks","Omaha, Nebraska",2008-08-11,"Dixie Quicks Omaha Nebraska yelp",1,139,"dixie-quicks-council-bluffs"
6,"Totally Unexpected","Cabbage Town Market","Atlanta, Georgia",2008-08-18,"Cabbage Town Market Atlanta Georgia yelp",1,140,"cabbagetown-market-atlanta"
6,"Totally Unexpected","The Cove","San Antonio, Texas",2008-08-18,"The Cove San Antonio Texas yelp",1,141,"the-cove-san-antonio"
6,"Totally Unexpected","Bryant-Lake Bowl","Minneapolis, Minnesota",2008-08-18,"Bryant-Lake Bowl Minneapolis Minnesota yelp",1,142,"bryant-lake-bowl-minneapolis-2"
7,"A Taste of Everywhere","Jamaica Kitchen","Kendale Lakes, Florida",2008-09-15,"Jamaica Kitchen Kendale Lakes Florida yelp",1,143,"jamaica-kitchen-miami"
7,"A Taste of Everywhere","Crystal Restaurant","Pittsburgh, Pennsylvania",2008-09-15,"Crystal Restaurant Pittsburgh Pennsylvania yelp",1,144,"crystal-on-penn-pittsburgh"
7,"A Taste of Everywhere","Red Iguana","Salt Lake City, Utah",2008-09-15,"Red Iguana Salt Lake City Utah yelp",1,145,"red-iguana-salt-lake-city"
8,"Better Than Ever","Colonnade","Atlanta, Georgia",2008-09-22,"Colonnade Atlanta Georgia yelp",1,146,"colonnade-restaurant-atlanta"
8,"Better Than Ever","Manci's Antique Club","Daphne, Alabama",2008-09-22,"Manci's Antique Club Daphne Alabama yelp",1,147,"mancis-antique-club-daphne-2"
8,"Better Than Ever","Amato's","Omaha, Nebraska",2008-09-22,"Amato's Omaha Nebraska yelp",1,148,"amatos-omaha"
9,"Big Flavor","Darwell's Cafe","Long Beach, Mississippi",2008-09-29,"Darwell's Cafe Long Beach Mississippi yelp",1,149,"darwells-cafe-long-beach-2"
9,"Big Flavor","Brick Oven Pizza","Baltimore, Maryland",2008-09-29,"Brick Oven Pizza Baltimore Maryland yelp",1,150,"bop-brick-oven-pizza-baltimore"
9,"Big Flavor","Victor's 1959 Cafe","Minneapolis, Minnesota",2008-09-29,"Victor's 1959 Cafe Minneapolis Minnesota yelp",1,151,"victors-1959-cafe-minneapolis-3"
10,"Cookin' It Old School","Nadine's Restaurant","Pittsburgh, Pennsylvania",2008-10-06,"Nadine's Restaurant Pittsburgh Pennsylvania yelp",1,152,"nadines-pittsburgh"
10,"Cookin' It Old School","Casamento's Restaurant","New Orleans, Louisiana",2008-10-06,"Casamento's Restaurant New Orleans Louisiana yelp",1,153,"casamentos-restaurant-new-orleans"
